index_number,country,shirt_number,fifa_name,date_birth,position,club,assists,appearances,minutes,appearances_per_assist,minutes_per_assist
654,Sweden,10,Emil FORSBERG,23.10.1991,MF,RasenBallsport Leipzig (GER),26,64,4646,2.4615384615384617,178.69230769230768
655,Sweden,11,John GUIDETTI,15.04.1992,FW,Alavés (ESP),10,71,3895,7.1,389.5
656,Sweden,12,Karl-Johan JOHNSSON,28.01.1990,GK,Guingamp (FRA),0,0,0,0,0
657,Sweden,13,Gustav SVENSSON,07.02.1987,MF,Seattle Sounders Football Club (USA),4,83,7005,20.75,1751.25
658,Sweden,14,Filip HELANDER,22.04.1993,DF,Bologna (ITA),0,42,3512,0,0
659,Sweden,15,Oscar HILJEMARK,28.06.1992,MF,Genoa (ITA),8,64,4505,8.0,563.125
660,Sweden,16,Emil KRAFTH,02.08.1994,DF,Bologna (ITA),1,41,2897,41.0,2897.0
661,Sweden,17,Viktor CLAESSON,02.01.1992,MF,Krasnodar (RUS),21,81,6886,3.857142857142857,327.9047619047619
662,Sweden,18,Pontus JANSSON,13.02.1991,DF,Leeds (ENG),3,79,6834,26.333333333333332,2278.0
663,Sweden,19,Marcus ROHDEN,11.05.1991,MF,Crotone FC (ITA),8,78,5575,9.75,696.875
664,Sweden,20,Ola TOIVONEN,03.07.1986,FW,Toulouse FC (FRA),5,66,3091,13.2,618.2
665,Sweden,21,Jimmy DURMAZ,22.03.1989,MF,Toulouse FC (FRA),4,55,2899,13.75,724.75
666,Sweden,22,Isaac Kiese THELIN,24.06.1992,FW,Beveren (BEL),8,70,4163,8.75,520.375
667,Sweden,23,Kristoffer NORDFELDT,23.06.1989,GK,Swansea City (WAL),0,0,0,0,0
668,Switzerland,1,Yann SOMMER,17.12.1988,GK,Borussia Moenchengladbach (GER),0,0,0,0,0
669,Switzerland,2,Stephan LICHTSTEINER,16.01.1984,DF,Juventus (ITA),7,62,4214,8.857142857142858,602.0
670,Switzerland,3,Francois MOUBANDJE,21.06.1990,DF,Toulouse FC (FRA),1,61,5311,61.0,5311.0
671,Switzerland,4,Nico ELVEDI,30.09.1996,DF,Borussia Moenchengladbach (GER),3,72,6300,24.0,2100.0
672,Switzerland,5,Manuel AKANJI,19.07.1995,DF,Borussia Dortmund (GER),3,58,5027,19.333333333333332,1675.6666666666667
673,Switzerland,6,Michael LANG,08.02.1991,DF,FC Basel (SUI),14,85,7579,6.071428571428571,541.3571428571429
674,Switzerland,7,Breel EMBOLO,14.02.1997,FW,Schalke 04 (GER),5,35,1711,7.0,342.2
675,Switzerland,8,Remo FREULER,15.04.1992,MF,Atalanta Bergamo (ITA),8,81,6753,10.125,844.125
676,Switzerland,9,Haris SEFEROVIC,22.02.1992,FW,Benfica (POR),2,58,2769,29.0,1384.5
677,Switzerland,10,Granit XHAKA,27.09.1992,MF,Arsenal (ENG),11,94,7703,8.545454545454545,700.2727272727273
678,Switzerland,11,Valon BEHRAMI,19.04.1985,MF,Udinese (ITA),1,47,3445,47.0,3445.0
679,Switzerland,12,Yvon MVOGO,06.06.1994,GK,RasenBallsport Leipzig (GER),0,0,0,0,0
680,Switzerland,13,Ricardo RODRIGUEZ,25.08.1992,DF,AC Milan (ITA),5,74,6438,14.8,1287.6
681,Switzerland,14,Steven ZUBER,17.08.1991,MF,1899 Hoffenheim (GER),6,54,4209,9.0,701.5
682,Switzerland,15,Blerim DZEMAILI,12.04.1986,MF,Bologna (ITA),16,73,6080,4.5625,380.0
683,Switzerland,16,Gelson FERNANDES,02.09.1986,MF,Eintracht Frankfurt (GER),0,50,3049,0,0
684,Switzerland,17,Denis ZAKARIA,20.11.1996,MF,Borussia Moenchengladbach (GER),5,67,5273,13.4,1054.6
685,Switzerland,18,Mario GAVRANOVIC,24.11.1989,FW,Dinamo Zagreb (CRO),14,82,6214,5.857142857142857,443.85714285714283
686,Switzerland,19,Josip DRMIC,08.08.1992,FW,Borussia Moenchengladbach (GER),5,31,1033,6.2,206.6
687,Switzerland,20,Johan DJOUROU,18.01.1987,DF,Antalyaspor (TUR),0,34,2837,0,0
688,Switzerland,21,Roman BUERKI,14.11.1990,GK,Borussia Dortmund (GER),0,0,0,0,0
689,Switzerland,22,Fabian SCHAER,20.12.1991,DF,Deportivo La Coruña (ESP),3,34,2803,11.333333333333334,934.3333333333334
690,Switzerland,23,Xherdan SHAQIRI,10.10.1991,MF,Stoke (ENG),9,60,4861,6.666666666666667,540.1111111111111
691,Tunisia,1,Farouk BEN MUSTAPHA,01.07.1989,GK,Al Shabab (KSA),0,0,0,0,0
692,Tunisia,2,Syam BEN YOUSSEF,31.03.1989,DF,Kasimpasa SK (TUR),0,45,3616,0,0
693,Tunisia,3,Yohan BEN ALOUANE,28.03.1987,DF,Leicester (ENG),0,35,2880,0,0
694,Tunisia,4,Yassine MERIAH,02.07.1993,DF,CS Sfaxien (TUN),0,49,4347,0,0
695,Tunisia,5,Oussama HADDADI,28.01.1992,DF,Dijon (FRA),6,63,5098,10.5,849.6666666666666
696,Tunisia,6,Rami BEDOUI,19.01.1990,DF,ES du Sahel (TUN),3,60,4924,20.0,1641.3333333333333
697,Tunisia,7,Saifeddine KHAOUI,27.04.1995,FW,Troyes (FRA),3,45,2229,15.0,743.0
698,Tunisia,8,Fakhreddine BEN YOUSSEF,23.06.1991,FW,Al Ittifaq (KSA),3,42,3335,14.0,1111.6666666666667
699,Tunisia,9,Anice BADRI,18.09.1990,MF,Esperance (TUN),19,63,4969,3.3157894736842106,261.5263157894737
700,Tunisia,10,Wahbi KHAZRI,08.02.1991,FW,Rennes (FRA),5,57,3549,11.4,709.8
701,Tunisia,11,Dylan BRONN,19.06.1995,DF,AA Gent (BEL),0,70,6094,0,0
702,Tunisia,12,Ali MAALOUL,01.01.1990,DF,Al Ahly Cairo (EGY),14,57,5145,4.071428571428571,367.5
703,Tunisia,13,Ferjani SASSI,18.03.1992,MF,Al Nasr (KSA),7,62,5122,8.857142857142858,731.7142857142857
704,Tunisia,14,Mohamed BEN AMOR,03.05.1992,MF,Al Ahli (KSA),3,52,4629,17.333333333333332,1543.0
705,Tunisia,15,Ahmed KHALIL,21.12.1994,FW,Club Africain (TUN),1,42,3573,42.0,3573.0
706,Tunisia,16,Aymen MATHLOUTHI,14.09.1984,GK,Al Batin Football Club (KSA),0,0,0,0,0
707,Tunisia,17,Ellyes SKHIRI,10.05.1995,MF,Montpellier (FRA),2,80,6981,40.0,3490.5
708,Tunisia,18,Bassem SRARFI,25.06.1997,FW,OGC Nice (FRA),4,53,2134,13.25,533.5
709,Tunisia,19,Saber KHALIFA,14.10.1986,FW,Club Africain (TUN),9,48,4008,5.333333333333333,445.3333333333333
710,Tunisia,20,Ghaylen CHAALELI,28.02.1994,FW,Esperance (TUN),6,54,4320,9.0,720.0
711,Tunisia,21,Hamdi NAGUEZ,28.10.1992,DF,Zamalek (EGY),11,46,4154,4.181818181818182,377.6363636363636
712,Tunisia,22,Mouez HASSEN,05.03.1995,GK,Chateauroux (FRA),0,0,0,0,0
713,Tunisia,23,Naim SLITI,27.07.1992,FW,Dijon (FRA),10,53,3486,5.3,348.6
714,Uruguay,1,Fernando MUSLERA,16.06.1986,GK,Galatasaray (TUR),0,0,0,0,0
715,Uruguay,2,Jose GIMENEZ,20.01.1995,DF,Atlético Madrid (ESP),3,67,4913,22.333333333333332,1637.6666666666667
716,Uruguay,3,Diego GODIN,16.02.1986,DF,Atlético Madrid (ESP),2,92,7931,46.0,3965.5
717,Uruguay,4,Guillermo VARELA,24.03.1993,DF,Peñarol (URU),0,40,3273,0,0
718,Uruguay,5,Carlos SANCHEZ,02.12.1984,MF,Monterrey (MEX),15,71,5264,4.733333333333333,350.93333333333334
719,Uruguay,6,Rodrigo BENTANCUR,25.06.1997,MF,Juventus (ITA),3,54,2912,18.0,970.6666666666666
720,Uruguay,7,Cristian RODRIGUEZ,30.09.1985,MF,Peñarol (URU),12,64,4950,5.333333333333333,412.5
721,Uruguay,8,Nahitan NANDEZ,28.12.1995,MF,Boca Juniors (ARG),12,97,7839,8.083333333333334,653.25
722,Uruguay,9,Luis SUAREZ,24.01.1987,FW,FC Barcelona (ESP),36,102,8749,2.8333333333333335,243.02777777777777
723,Uruguay,10,Giorgian DE ARRASCAETA,01.06.1994,FW,Cruzeiro (BRA),12,57,4322,4.75,360.1666666666667
724,Uruguay,11,Cristhian STUANI,12.10.1986,FW,Girona Futbol Club (ESP),0,61,4331,0,0
725,Uruguay,12,Martin CAMPANA,29.05.1989,GK,Independiente (ARG),0,0,0,0,0
726,Uruguay,13,Gaston SILVA,05.03.1994,DF,Independiente (ARG),2,45,3607,22.5,1803.5
727,Uruguay,14,Lucas TORREIRA,11.02.1996,MF,Sampdoria (ITA),4,74,6442,18.5,1610.5
728,Uruguay,15,Matias VECINO,24.08.1991,MF,Internazionale (ITA),7,71,5393,10.142857142857142,770.4285714285714
729,Uruguay,16,Maximiliano PEREIRA,08.06.1984,DF,FC Porto (POR),8,58,4619,7.25,577.375
730,Uruguay,17,Diego LAXALT,07.02.1993,MF,Genoa (ITA),7,73,6460,10.428571428571429,922.8571428571429
731,Uruguay,18,Maximiliano GOMEZ,14.08.1996,FW,Celta (ESP),17,87,7195,5.117647058823529,423.2352941176471
732,Uruguay,19,Sebastian COATES,07.10.1990,DF,Sporting CP (POR),6,97,8760,16.166666666666668,1460.0
733,Uruguay,20,Jonathan URRETAVISCAYA,19.03.1990,FW,Monterrey (MEX),24,71,5577,2.9583333333333335,232.375
734,Uruguay,21,Edinson CAVANI,14.02.1987,FW,Paris Saint-Germain (FRA),18,98,8094,5.444444444444445,449.6666666666667
735,Uruguay,22,Martin CACERES,07.04.1987,DF,Lazio (ITA),1,29,2361,29.0,2361.0
736,Uruguay,23,Martin SILVA,25.03.1983,GK,"Clube de Regatas Vasco da Gama
(BRA)",0,0,0,0,0
