index_number,country,shirt_number,fifa_name,date_birth,position,club,assists,appearances,minutes,appearances_per_assist,minutes_per_assist
303,Iran,4,Roozbeh CHESHMI,24.07.1993,DF,Esteghlal Tehran (IRN),0,38,3377,0,0
304,Iran,5,Milad MOHAMMADI,29.09.1993,DF,an Football Club Akhmat Grozny (RUS),5,49,4208,9.8,841.6
305,Iran,6,Saeid EZATOLAHI,01.10.1996,MF,FK Amkar Perm (RUS),1,44,2325,44.0,2325.0
306,Iran,7,Masoud SHOJAEI,09.06.1984,MF,AEK Athinai (GRE),10,65,4973,6.5,497.3
307,Iran,8,Morteza POURALIGANJI,19.04.1992,DF,Al Sadd (QAT),0,45,3866,0,0
308,Iran,9,Omid EBRAHIMI,16.09.1987,MF,Esteghlal Tehran (IRN),12,71,6126,5.916666666666667,510.5
309,Iran,10,Karim ANSARIFARD,03.04.1990,FW,Olympiacos (GRE),11,61,4408,5.545454545454546,400.72727272727275
310,Iran,11,Vahid AMIRI,02.04.1988,MF,Persepolis Football Club (IRN),15,75,6242,5.0,416.1333333333333
311,Iran,12,Rashid MAZAHERI,18.05.1989,GK,Zob Ahan Isfahan FC (IRN),0,0,0,0,0
312,Iran,13,Mohammad Reza KHANZADEH,11.05.1991,DF,Padideh Khorasan Football Club (IRN),0,46,4051,0,0
313,Iran,14,Saman GHODDOS,06.09.1993,FW,IFK Östersund FK (SWE),22,84,7068,3.8181818181818183,321.27272727272725
314,Iran,15,Pejman MONTAZERI,06.09.1983,DF,Esteghlal Tehran (IRN),2,35,2837,17.5,1418.5
315,Iran,16,Reza GHOOCHANNEJHAD,20.09.1987,FW,sc Heerenveen (NED),6,75,5950,12.5,991.6666666666666
316,Iran,17,Mehdi TAREMI,18.07.1992,FW,Al Gharrafa (QAT),14,61,4795,4.357142857142857,342.5
317,Iran,18,Alireza JAHANBAKHSH,11.08.1993,FW,AZ (NED),24,82,6603,3.4166666666666665,275.125
318,Iran,19,Majid HOSSEINI,20.06.1996,DF,Esteghlal Tehran (IRN),0,52,4372,0,0
319,Iran,20,Sardar AZMOUN,01.01.1995,FW,Rubin Kazan (RUS),9,69,4027,7.666666666666667,447.44444444444446
320,Iran,21,Ashkan DEJAGAH,05.07.1986,FW,Nottingham Forest FC (ENG),0,5,156,0,0
321,Iran,22,Amir ABEDZADEH,26.04.1993,GK,CS Marítimo (POR),0,0,0,0,0
322,Iran,23,Ramin REZAEIAN,21.03.1990,DF,ninklijke Voetbalklub Oostende (BEL),4,38,2183,9.5,545.75
323,Japan,1,Eiji KAWASHIMA,20.03.1983,GK,FC Metz (FRA),0,0,0,0,0
324,Japan,2,Naomichi UEDA,24.10.1994,DF,Kashima Antlers (JPN),1,90,7901,90.0,7901.0
325,Japan,3,Gen SHOJI,11.12.1992,DF,Kashima Antlers (JPN),1,107,9696,107.0,9696.0
326,Japan,4,Keisuke HONDA,13.06.1986,MF,MEX (MEX),7,41,2672,5.857142857142857,381.7142857142857
327,Japan,5,Yuto NAGATOMO,12.09.1986,DF,Galatasaray (TUR),3,49,3851,16.333333333333332,1283.6666666666667
328,Japan,6,Wataru ENDO,09.02.1993,DF,Urawa Reds (JPN),7,105,9123,15.0,1303.2857142857142
329,Japan,7,Gaku SHIBASAKI,28.05.1992,MF,Getafe CF (ESP),16,84,6030,5.25,376.875
330,Japan,8,Genki HARAGUCHI,09.05.1991,MF,GER (GER),7,58,3565,8.285714285714286,509.2857142857143
331,Japan,9,Shinji OKAZAKI,16.04.1986,FW,Leicester (ENG),5,73,3789,14.6,757.8
332,Japan,10,Shinji KAGAWA,17.03.1989,MF,Borussia Dortmund (GER),15,57,3822,3.8,254.8
333,Japan,11,Takashi USAMI,06.05.1992,MF,GER (GER),10,63,3715,6.3,371.5
334,Japan,12,Masaaki HIGASHIGUCHI,12.05.1986,GK,Gamba Osaka (JPN),0,0,0,0,0
335,Japan,13,Yoshinori MUTO,15.07.1992,FW,Mainz 05 (GER),7,51,3238,7.285714285714286,462.57142857142856
336,Japan,14,Takashi INUI,02.06.1988,MF,Eibar (ESP),6,65,4816,10.833333333333334,802.6666666666666
337,Japan,15,Yuya OSAKO,18.05.1990,FW,1. FC Köln (GER),11,64,4753,5.818181818181818,432.09090909090907
338,Japan,16,Hotaru YAMAGUCHI,06.10.1990,MF,Cerezo Osaka (JPN),4,81,7207,20.25,1801.75
339,Japan,17,Makoto HASEBE,18.01.1984,MF,Eintracht Frankfurt (GER),1,54,4721,54.0,4721.0
340,Japan,18,Ryota OHSHIMA,23.01.1993,MF,Kawasaki Frontale (JPN),7,78,6474,11.142857142857142,924.8571428571429
341,Japan,19,Hiroki SAKAI,12.04.1990,DF,Olympique Marseille (FRA),7,90,7372,12.857142857142858,1053.142857142857
342,Japan,20,Tomoaki MAKINO,11.05.1987,DF,Urawa Reds (JPN),1,107,9504,107.0,9504.0
343,Japan,21,Gotoku SAKAI,14.03.1991,DF,Hamburger SV (GER),3,66,5431,22.0,1810.3333333333333
344,Japan,22,Maya YOSHIDA,24.08.1988,DF,Southampton (ENG),2,65,5674,32.5,2837.0
345,Japan,23,Kosuke NAKAMURA,27.02.1995,GK,JPN (JPN),0,0,0,0,0
346,South Korea,1,KIM Seunggyu,30.09.1990,GK,Vissel Kobe (JPN),0,0,0,0,0
347,South Korea,2,LEE Yong,24.12.1986,DF,Jeonbuk Motors (KOR),4,44,3491,11.0,872.75
348,South Korea,3,JUNG Seunghyun,03.04.1994,DF,Sagan Tosu Football Club (JPN),0,60,4909,0,0
349,South Korea,4,OH Bansuk,20.05.1988,DF,(KOR),1,59,5271,59.0,5271.0
351,South Korea,6,PARK Jooho,16.01.1987,DF,Ulsan Hyundai (KOR),0,26,1849,0,0
352,South Korea,7,SON Heungmin,08.07.1992,FW,Tottenham Hotspur (ENG),21,100,6351,4.761904761904762,302.42857142857144
353,South Korea,8,JU Sejong,30.10.1990,MF,Asan Mugunghwa Football Club (KOR),7,70,5482,10.0,783.1428571428571
354,South Korea,9,KIM Shinwook,14.04.1988,FW,Jeonbuk Motors (KOR),14,87,4714,6.214285714285714,336.7142857142857
355,South Korea,10,LEE Seungwoo,06.01.1998,MF,Verona (ITA),2,23,907,11.5,453.5
356,South Korea,11,HWANG Heechan,26.01.1996,FW,Red Bull Salzburg (AUT),6,72,4171,12.0,695.1666666666666
357,South Korea,12,KIM Minwoo,25.02.1990,DF,Sangmu (KOR),13,86,7167,6.615384615384615,551.3076923076923
358,South Korea,13,KOO Jacheol,27.02.1989,MF,FC Augsburg (GER),4,54,4047,13.5,1011.75
359,South Korea,14,HONG Chul,17.09.1990,DF,Sangmu (KOR),9,44,3858,4.888888888888889,428.6666666666667
360,South Korea,15,JUNG Wooyoung,14.12.1989,MF,Vissel Kobe (JPN),3,63,5647,21.0,1882.3333333333333
361,South Korea,16,KI Sungyueng,24.01.1989,MF,Swansea City (WAL),4,58,3849,14.5,962.25
363,South Korea,18,MOON Seonmin,09.06.1992,MF,Incheon United (KOR),7,60,3751,8.571428571428571,535.8571428571429
364,South Korea,19,KIM Younggwon,27.02.1990,DF,"Guangzhou Evergrande Taobao FC
(CHN)",2,46,3943,23.0,1971.5
365,South Korea,20,JANG Hyunsoo,28.09.1991,DF,FC Tokyo (JPN),2,52,4503,26.0,2251.5
